0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
32,重庆,2022-09-30,2022年09月30日,2,41,133,22,39,10,34,0.69,66,晴/晴,北风1-2级/北风1-2级,22℃/30℃,22,30
31,重庆,2022-09-29,2022年09月29日,2,36,99,18,33,7,29,0.64,51,多云/阴,东北风1-2级/东北风1-2级,19℃/28℃,19,28
30,重庆,2022-09-28,2022年09月28日,2,24,23,14,24,6,24,0.57,45,小雨/多云,东风1-2级/东风1-2级,18℃/24℃,18,24
29,重庆,2022-09-27,2022年09月27日,2,23,23,15,23,6,21,0.53,40,中雨/小雨,南风1-2级/南风1-2级,19℃/23℃,19,23
28,重庆,2022-09-26,2022年09月26日,2,35,79,20,35,8,29,0.65,41,阴/小雨,北风1-2级/北风1-2级,19℃/25℃,19,25
27,重庆,2022-09-25,2022年09月25日,2,30,56,19,29,7,27,0.62,39,小雨/阴,东风1-2级/东风1-2级,17℃/22℃,17,22
26,重庆,2022-09-24,2022年09月24日,2,25,60,15,25,6,22,0.52,43,小雨/小雨,东风1-2级/东风1-2级,17℃/20℃,17,20
25,重庆,2022-09-23,2022年09月23日,2,25,73,15,25,6,24,0.6,36,小雨/中雨,东北风1-2级/东北风1-2级,19℃/21℃,19,21
24,重庆,2022-09-22,2022年09月22日,2,23,24,15,23,6,23,0.67,32,小雨/小雨,北风1-2级/北风1-2级,19℃/22℃,19,22
23,重庆,2022-09-21,2022年09月21日,2,21,16,13,20,6,17,0.59,53,小雨/中雨,西南风1-2级/西南风1-2级,20℃/24℃,20,24
22,重庆,2022-09-20,2022年09月20日,2,34,133,23,33,7,17,0.67,61,小雨/小雨,南风1-2级/南风1-2级,23℃/27℃,23,27
21,重庆,2022-09-19,2022年09月19日,3,57,268,39,55,10,18,0.76,89,小雨/大雨,北风1-2级/北风1-2级,22℃/29℃,22,29
20,重庆,2022-09-18,2022年09月18日,3,66,263,47,65,10,20,0.79,72,阴/阴,北风1-2级/北风1-2级,25℃/32℃,25,32
19,重庆,2022-09-17,2022年09月17日,3,77,308,56,76,10,26,0.83,82,多云/阴,北风1-2级/北风1-2级,25℃/31℃,25,31
18,重庆,2022-09-16,2022年09月16日,3,79,317,58,77,9,29,0.83,71,阴/小雨,北风1-2级/北风1-2级,23℃/30℃,23,30
17,重庆,2022-09-15,2022年09月15日,3,69,312,50,64,8,25,0.78,67,小雨/阴,东南风1-2级/东南风1-2级,23℃/27℃,23,27
16,重庆,2022-09-14,2022年09月14日,2,47,187,30,46,8,18,0.65,108,多云/小雨,东风1-2级/东风1-2级,26℃/35℃,26,35
15,重庆,2022-09-13,2022年09月13日,3,59,228,38,55,10,28,0.74,98,晴/多云,东风1-2级/东风1-2级,25℃/34℃,25,34
14,重庆,2022-09-12,2022年09月12日,3,70,272,44,61,10,31,0.75,98,多云/多云,南风1-2级/南风1-2级,23℃/34℃,23,34
13,重庆,2022-09-11,2022年09月11日,3,64,286,42,58,9,25,0.73,92,晴/晴,东风1-2级/东风1-2级,22℃/34℃,22,34
12,重庆,2022-09-10,2022年09月10日,3,58,244,41,54,8,22,0.7,72,多云/多云,东南风1-2级/东南风1-2级,21℃/30℃,21,30
11,重庆,2022-09-09,2022年09月09日,3,58,226,41,53,7,25,0.68,55,小雨/阴,东北风1-2级/东北风1-2级,22℃/25℃,22,25
10,重庆,2022-09-08,2022年09月08日,3,74,304,54,76,11,29,0.73,70,阴/小雨,西北风1-2级/西北风1-2级,24℃/31℃,24,31
9,重庆,2022-09-07,2022年09月07日,3,70,297,45,75,12,43,0.78,93,多云/多云,东风1-2级/东风1-2级,26℃/36℃,26,36
8,重庆,2022-09-06,2022年09月06日,3,64,279,37,64,10,46,0.72,84,多云/多云,东风1-2级/东风1-2级,24℃/36℃,24,36
7,重庆,2022-09-05,2022年09月05日,2,48,221,26,44,9,33,0.63,81,多云/多云,北风1-2级/北风1-2级,22℃/34℃,22,34
6,重庆,2022-09-04,2022年09月04日,2,33,126,20,30,6,19,0.56,64,多云/多云,西北风1-2级/西北风1-2级,20℃/29℃,20,29
5,重庆,2022-09-03,2022年09月03日,2,28,74,19,28,6,22,0.6,41,小雨/阴,北风1-2级/北风1-2级,19℃/23℃,19,23
4,重庆,2022-09-02,2022年09月02日,2,32,117,21,32,7,22,0.65,41,阴/小雨,西北风1-2级/西北风1-2级,21℃/27℃,21,27
3,重庆,2022-09-01,2022年09月01日,2,22,51,14,22,6,19,0.56,44,小雨/阴,北风1-2级/北风1-2级,19℃/27℃,19,27
64,重庆,2022-08-31,2022年08月31日,2,19,18,10,16,6,16,0.5,54,小雨/阴,北风1-2级/北风1-2级,20℃/27℃,20,27
63,重庆,2022-08-30,2022年08月30日,2,21,62,13,18,6,13,0.6,47,小雨/阴,西风1-2级/西风1-2级,21℃/25℃,21,25
62,重庆,2022-08-29,2022年08月29日,2,29,169,17,26,7,13,0.61,69,阴/小雨,西北风1-2级/西北风1-2级,27℃/33℃,27,33
61,重庆,2022-08-28,2022年08月28日,2,25,120,10,18,6,11,0.51,73,晴/多云,西北风1-2级/西北风1-2级,31℃/40℃,31,40
60,重庆,2022-08-27,2022年08月27日,2,24,91,9,16,7,12,0.46,72,晴/多云,东南风1-2级/东南风1-2级,32℃/41℃,32,41
59,重庆,2022-08-26,2022年08月26日,2,31,177,16,26,7,13,0.57,90,多云/多云,东南风1-2级/东南风1-2级,34℃/42℃,34,42
58,重庆,2022-08-25,2022年08月25日,2,35,177,16,27,7,14,0.59,96,多云/多云,东风1-2级/东风1-2级,33℃/42℃,33,42
57,重庆,2022-08-24,2022年08月24日,2,27,87,13,20,7,14,0.56,76,晴/晴,东南风1-2级/东南风1-2级,34℃/42℃,34,42
56,重庆,2022-08-23,2022年08月23日,2,29,118,13,21,8,17,0.56,75,晴/晴,东南风1-2级/东南风1-2级,33℃/42℃,33,42
55,重庆,2022-08-22,2022年08月22日,2,30,160,14,23,8,14,0.56,83,晴/晴,东南风1-2级/东南风1-2级,33℃/42℃,33,42
54,重庆,2022-08-21,2022年08月21日,2,26,114,11,20,7,12,0.48,75,晴/多云,南风1-2级/南风1-2级,34℃/43℃,34,43
53,重庆,2022-08-20,2022年08月20日,2,34,181,16,27,8,20,0.57,78,多云/多云,南风1-2级/南风1-2级,34℃/43℃,34,43
52,重庆,2022-08-19,2022年08月19日,2,32,155,13,24,8,19,0.53,85,晴/晴,南风1-2级/南风1-2级,34℃/43℃,34,43
51,重庆,2022-08-18,2022年08月18日,2,27,77,11,21,7,14,0.51,77,晴/多云,南风1-2级/南风1-2级,34℃/43℃,34,43
50,重庆,2022-08-17,2022年08月17日,2,27,74,12,22,8,14,0.52,74,晴/晴,东南风1-2级/东南风1-2级,33℃/42℃,33,42
49,重庆,2022-08-16,2022年08月16日,2,35,181,16,28,9,22,0.6,79,多云/多云,东南风1-2级/东南风1-2级,33℃/42℃,33,42
