重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,1
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,2
重庆,2022-09-01,2022年09月01日,优,22,51,14,22,6,19,0.56,44,"小雨
/阴","北风 1-2级
                                        /北风 1-2级","19℃
                                        /
                                        27℃",2
重庆,2022-09-02,2022年09月02日,优,32,117,21,32,7,22,0.65,41,"阴
/小雨","西北风 1-2级
                                        /西北风 1-2级","21℃
                                        /
                                        27℃",2
重庆,2022-09-03,2022年09月03日,优,28,74,19,28,6,22,0.60,41,"小雨
/阴","北风 1-2级
                                        /北风 1-2级","19℃
                                        /
                                        23℃",2
重庆,2022-09-04,2022年09月04日,优,33,126,20,30,6,19,0.56,64,"多云
/多云","西北风 1-2级
                                        /西北风 1-2级","20℃
                                        /
                                        29℃",2
重庆,2022-09-05,2022年09月05日,优,48,221,26,44,9,33,0.63,81,"多云
/多云","北风 1-2级
                                        /北风 1-2级","22℃
                                        /
                                        34℃",2
重庆,2022-09-06,2022年09月06日,良,64,279,37,64,10,46,0.72,84,"多云
/多云","东风 1-2级
                                        /东风 1-2级","24℃
                                        /
                                        36℃",2
重庆,2022-09-07,2022年09月07日,良,70,297,45,75,12,43,0.78,93,"多云
/多云","东风 1-2级
                                        /东风 1-2级","26℃
                                        /
                                        36℃",2
重庆,2022-09-08,2022年09月08日,良,74,304,54,76,11,29,0.73,70,"阴
/小雨","西北风 1-2级
                                        /西北风 1-2级","24℃
                                        /
                                        31℃",2
重庆,2022-09-09,2022年09月09日,良,58,226,41,53,7,25,0.68,55,"小雨
/阴","东北风 1-2级
                                        /东北风 1-2级","22℃
                                        /
                                        25℃",2
重庆,2022-09-10,2022年09月10日,良,58,244,41,54,8,22,0.70,72,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","21℃
                                        /
                                        30℃",2
重庆,2022-09-11,2022年09月11日,良,64,286,42,58,9,25,0.73,92,"晴
/晴","东风 1-2级
                                        /东风 1-2级","22℃
                                        /
                                        34℃",2
重庆,2022-09-12,2022年09月12日,良,70,272,44,61,10,31,0.75,98,"多云
/多云","南风 1-2级
                                        /南风 1-2级","23℃
                                        /
                                        34℃",2
